"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast"
"HIST1H2BK","T cell-CD4mem-Th22",-0.366555247447912,11.5066792290256,0.374393273343104,0.570073020630929,0.827826113715818,1,"group_idcSLE-group_idcHD"
"SLC2A6","T cell-CD4mem-Th22",0.562886269045571,11.4356517489557,2.45649556627878,0.344081848034642,0.630493077424658,1,"group_idcSLE-group_idcHD"
"RNU12","T cell-CD4mem-Th22",0.687111320924511,11.5250206226849,0.908344510295922,0.432782930075225,0.713337017610284,1,"group_idcSLE-group_idcHD"
"RILPL2","T cell-CD4mem-Th22",1.18509031975777,11.6077448549204,2.36191578256312,0.124352669267275,0.607835896329442,1,"group_idcSLE-group_idcHD"
"AHR","T cell-CD4mem-Th22",-0.211806723546147,11.5483425486246,0.0687943962568439,0.856310300101006,0.984843692002577,1,"group_idcSLE-group_idcHD"
"GATA3","T cell-CD4mem-Th22",1.03974790698596,11.8664688261608,2.31957346002478,0.127778290586044,0.607835896329442,1,"group_idcSLE-group_idcHD"
"PPM1N","T cell-CD4mem-Th22",0.0483345112591407,11.5010025129058,0.0101103667714276,0.920542228119007,0.98766682355221,1,"group_idcSLE-group_idcHD"
"ARID5B","T cell-CD4mem-Th22",0.0452476868473581,11.9661526954711,0.00335516188667059,0.953810208221626,0.991359207593777,1,"group_idcSLE-group_idcHD"
"NR4A2","T cell-CD4mem-Th22",-0.104130999578062,12.1950946105444,0.0334873364493475,0.854804311190806,0.984843692002577,1,"group_idcSLE-group_idcHD"
"PTGIR","T cell-CD4mem-Th22",0.586638849826703,11.440426336085,2.39993614104434,0.344081872244446,0.630493077424658,1,"group_idcSLE-group_idcHD"
"FOSB","T cell-CD4mem-Th22",0.610821186201695,12.3090242109903,1.19530830240363,0.274280771226464,0.630493077424658,1,"group_idcSLE-group_idcHD"
"CD40LG","T cell-CD4mem-Th22",0.379698331577614,11.7655801017833,0.282457883477961,0.595103414627038,0.849933592175141,1,"group_idcSLE-group_idcHD"
"PRMT10","T cell-CD4mem-Th22",0.590159562980734,11.5084144816029,0.80014841807684,0.432782923169554,0.713337017610284,1,"group_idcSLE-group_idcHD"
"FKBP2","T cell-CD4mem-Th22",-0.288591377603474,11.7306953128575,0.17641281645609,0.674480939104418,0.863020069167718,1,"group_idcSLE-group_idcHD"
"CYB561A3","T cell-CD4mem-Th22",-0.195372448453099,11.6228691422475,0.0486642082493542,0.933667401224833,0.98766682355221,1,"group_idcSLE-group_idcHD"
"OAS2","T cell-CD4mem-Th22",-0.19223778989079,11.5517311439252,0.0590313411004691,0.856310295793172,0.984843692002577,1,"group_idcSLE-group_idcHD"
"JUND","T cell-CD4mem-Th22",-0.356461582375476,11.8037692860981,0.291592748708478,0.589210499207928,0.844810369248948,1,"group_idcSLE-group_idcHD"
"RP11-138A9.2","T cell-CD4mem-Th22",-0.518992661392977,12.0190137628075,0.745883891343666,0.387797774083775,0.69363198077445,1,"group_idcSLE-group_idcHD"
"TLE1","T cell-CD4mem-Th22",-0.925078295402513,11.4393844815965,5.49968163926542,0.153340923652437,0.607835896329442,1,"group_idcSLE-group_idcHD"
"PTAFR","T cell-CD4mem-Th22",0.566872626536013,11.4363816887657,2.44841508392934,0.344081850922033,0.630493077424658,1,"group_idcSLE-group_idcHD"
"EFHD2","T cell-CD4mem-Th22",0.659587640283478,11.5443109330859,0.794927031173979,0.432782924139795,0.713337017610284,1,"group_idcSLE-group_idcHD"
"IFNGR1","T cell-CD4mem-Th22",-1.30273367640763,11.4484350881023,9.20319992422786,0.0434604893813875,0.524300061567555,1,"group_idcSLE-group_idcHD"
"NAAA","T cell-CD4mem-Th22",-0.0366530759348245,11.6608210857178,0.00696448882750485,0.933492167185815,0.98766682355221,1,"group_idcSLE-group_idcHD"
"SCPEP1","T cell-CD4mem-Th22",0.897772245951943,11.5814028738973,1.30210305041485,0.292560765712858,0.630493077424658,1,"group_idcSLE-group_idcHD"
"CHMP1B","T cell-CD4mem-Th22",0.263963729559397,11.9353859207175,0.17391164433706,0.676665127051032,0.863020069167718,1,"group_idcSLE-group_idcHD"
"ITM2A","T cell-CD4mem-Th22",-0.710759235602507,12.1141180925507,1.46770248553033,0.225729576728454,0.630493077424658,1,"group_idcSLE-group_idcHD"
"AGTRAP","T cell-CD4mem-Th22",-1.1245089803348,11.6029238803743,2.41204139388462,0.129874839834331,0.607835896329442,1,"group_idcSLE-group_idcHD"
"C20orf27","T cell-CD4mem-Th22",-0.906826223479323,11.4800529942654,2.21597912892079,0.282820542916807,0.630493077424658,1,"group_idcSLE-group_idcHD"
"FKBP5","T cell-CD4mem-Th22",-0.494908729253975,11.7003498443023,0.443691217608024,0.523849644586118,0.79844824935715,1,"group_idcSLE-group_idcHD"
"CCR6","T cell-CD4mem-Th22",0.632626799454313,11.5456596022778,0.75156544865109,0.43278291464145,0.713337017610284,1,"group_idcSLE-group_idcHD"
"PYHIN1","T cell-CD4mem-Th22",1.24625717324857,11.6292080661936,2.35542119425933,0.131344249633376,0.607835896329442,1,"group_idcSLE-group_idcHD"
"CTSA","T cell-CD4mem-Th22",2.272688799878,11.6168519715416,7.77881126059561,0.00744920497607761,0.46929991349289,1,"group_idcSLE-group_idcHD"
"SAMD4A","T cell-CD4mem-Th22",0.576487138295433,11.4382551661846,2.42665174530739,0.344081859501463,0.630493077424658,1,"group_idcSLE-group_idcHD"
"PATL2","T cell-CD4mem-Th22",-0.240042119377124,11.4575103117972,0.282124614039521,0.687980605465575,0.863020069167718,1,"group_idcSLE-group_idcHD"
"TBX21","T cell-CD4mem-Th22",-1.4991651523556,11.4691633344298,8.68819585329245,0.0434604960917014,0.524300061567555,1,"group_idcSLE-group_idcHD"
"CTSC","T cell-CD4mem-Th22",0.189038029829459,11.7742844021854,0.0710357728146878,0.789838661712487,0.946804484547527,1,"group_idcSLE-group_idcHD"
"NEIL1","T cell-CD4mem-Th22",-0.248974625358683,11.4557886183543,0.293324593649135,0.687980615799294,0.863020069167718,1,"group_idcSLE-group_idcHD"
"ATOX1","T cell-CD4mem-Th22",0.948554817653556,11.5865670331347,1.55743969953298,0.212061964662947,0.630493077424658,1,"group_idcSLE-group_idcHD"
"TOB1","T cell-CD4mem-Th22",0.422316113013937,12.4797328867472,0.604210247020397,0.436989632473737,0.718182961195968,1,"group_idcSLE-group_idcHD"
"PRKCQ-AS1","T cell-CD4mem-Th22",0.935898063778277,11.7344404331147,1.53885380224502,0.234277454115511,0.630493077424658,1,"group_idcSLE-group_idcHD"
"EEF1A1","T cell-CD4mem-Th22",-0.558836996195791,16.8039803765222,5.80420642706991,0.0160010770965409,0.511504552003349,1,"group_idcSLE-group_idcHD"
"MTRNR2L2","T cell-CD4mem-Th22",0.982470165651345,11.4653358625569,3.8799902339439,0.180885990523395,0.607835896329442,1,"group_idcSLE-group_idcHD"
"TIMP2","T cell-CD4mem-Th22",-0.815847251894696,11.4289511927786,5.65459521230945,0.15334089946094,0.607835896329442,1,"group_idcSLE-group_idcHD"
"APOBEC3C","T cell-CD4mem-Th22",0.268383031006958,11.6572362641645,0.131600508001691,0.716783949420196,0.881597612410523,1,"group_idcSLE-group_idcHD"
"H2AFY","T cell-CD4mem-Th22",0.017448417478246,11.7778331469671,8.92364952361075e-05,0.992463028453185,0.994216496701335,1,"group_idcSLE-group_idcHD"
"TRAF4","T cell-CD4mem-Th22",-0.866942044150952,11.4332275784609,5.61564916998214,0.15334090653648,0.607835896329442,1,"group_idcSLE-group_idcHD"
"IL4R","T cell-CD4mem-Th22",0.0501488697404038,11.6699639711807,0.00281900424450254,0.984539822514203,0.991359207593777,1,"group_idcSLE-group_idcHD"
"LYST","T cell-CD4mem-Th22",-0.743815796723546,11.4870864705918,1.73252066931883,0.282820473468321,0.630493077424658,1,"group_idcSLE-group_idcHD"
"TMEM107","T cell-CD4mem-Th22",0.593490023862784,11.4420184459944,2.37956104670772,0.344081884338464,0.630493077424658,1,"group_idcSLE-group_idcHD"
"PDIA6","T cell-CD4mem-Th22",-0.118796746290364,11.8593443233674,0.0401924561789997,0.841107753809636,0.984843692002577,1,"group_idcSLE-group_idcHD"
"VMP1","T cell-CD4mem-Th22",0.609982580083348,11.6190662147886,0.58150362706707,0.501841152895649,0.779855910779785,1,"group_idcSLE-group_idcHD"
"XAF1","T cell-CD4mem-Th22",1.42751043395582,11.6683173919782,2.98094499619459,0.0874306649956932,0.607835896329442,1,"group_idcSLE-group_idcHD"
"TUBA4A","T cell-CD4mem-Th22",-0.984131655596893,12.10415117956,2.82484601421352,0.0928387440461406,0.607835896329442,1,"group_idcSLE-group_idcHD"
"LRRN3","T cell-CD4mem-Th22",0.575805132517572,11.4381166997682,2.4283054136336,0.34408185880133,0.630493077424658,1,"group_idcSLE-group_idcHD"
"UBE2L6","T cell-CD4mem-Th22",0.853165058150788,11.7053775646116,1.24651479719063,0.311935453557961,0.630493077424658,1,"group_idcSLE-group_idcHD"
"VIMP","T cell-CD4mem-Th22",0.00965374499967798,11.7881779145029,0.000423939754984916,0.983573181150236,0.991359207593777,1,"group_idcSLE-group_idcHD"
"MGST2","T cell-CD4mem-Th22",-0.436511965049609,11.461508130421,0.461851959938041,0.687980725332996,0.863020069167718,1,"group_idcSLE-group_idcHD"
"GABARAPL1","T cell-CD4mem-Th22",0.215732853053926,11.5472476239036,0.0671553620444808,0.887815625239856,0.98766682355221,1,"group_idcSLE-group_idcHD"
"NGFRAP1","T cell-CD4mem-Th22",1.48478696584585,11.5055881991725,5.55352614140264,0.0584558409592906,0.551500839155722,1,"group_idcSLE-group_idcHD"
"SLC16A3","T cell-CD4mem-Th22",0.96953939157326,11.4628392003509,3.92046024214557,0.180885988047673,0.607835896329442,1,"group_idcSLE-group_idcHD"
"ZBP1","T cell-CD4mem-Th22",-0.988944124766284,11.6015281958039,1.95460405965991,0.162114368241306,0.607835896329442,1,"group_idcSLE-group_idcHD"
"OGFRL1","T cell-CD4mem-Th22",0.111712068508468,11.4875664010743,0.0244374847003348,0.920542272568338,0.98766682355221,1,"group_idcSLE-group_idcHD"
"CORO1B","T cell-CD4mem-Th22",-0.501229346802257,11.9960042804786,0.68216644130418,0.408856194468022,0.713337017610284,1,"group_idcSLE-group_idcHD"
"IER2","T cell-CD4mem-Th22",0.0256661003971555,12.5388683242723,0.00268044164541572,0.958710343978681,0.991359207593777,1,"group_idcSLE-group_idcHD"
"HSPA5","T cell-CD4mem-Th22",-0.122020493617153,12.0744108170661,0.0408362585644912,0.839857334998133,0.984843692002577,1,"group_idcSLE-group_idcHD"
"FAM43A","T cell-CD4mem-Th22",0.555143306874296,11.4343054695627,2.47070195702667,0.344081843250196,0.630493077424658,1,"group_idcSLE-group_idcHD"
"TNFAIP3","T cell-CD4mem-Th22",0.387116194654635,12.959284132129,0.703139207275461,0.401745610018345,0.707421617640999,1,"group_idcSLE-group_idcHD"
"APOBEC3G","T cell-CD4mem-Th22",0.675961326449078,11.6196931870157,0.769413418419217,0.380414062230889,0.683102427988547,1,"group_idcSLE-group_idcHD"
"CKS2","T cell-CD4mem-Th22",0.616067356833948,11.5383526300595,0.740831906841609,0.432782919286399,0.713337017610284,1,"group_idcSLE-group_idcHD"
"ZFHX3","T cell-CD4mem-Th22",-1.34725736531716,11.4526632288082,9.11870948746329,0.0434604902840303,0.524300061567555,1,"group_idcSLE-group_idcHD"
"CXXC5","T cell-CD4mem-Th22",0.566872626536013,11.4363816887657,2.44841508392934,0.344081850922033,0.630493077424658,1,"group_idcSLE-group_idcHD"
"HHEX","T cell-CD4mem-Th22",0.590602634187028,11.4413341364726,2.38838832742613,0.344081878790285,0.630493077424658,1,"group_idcSLE-group_idcHD"
"RBM47","T cell-CD4mem-Th22",-0.901155040980427,11.4366570931131,5.55741718932277,0.153340914634187,0.607835896329442,1,"group_idcSLE-group_idcHD"
"TMEM156","T cell-CD4mem-Th22",1.56425812321526,11.519922636901,5.44291874107035,0.0584558425752148,0.551500839155722,1,"group_idcSLE-group_idcHD"
"PIM2","T cell-CD4mem-Th22",-0.0288203115407546,11.8306613581644,0.00220839984204689,0.962519006076998,0.991359207593777,1,"group_idcSLE-group_idcHD"
"MX2","T cell-CD4mem-Th22",2.03668453067566,11.5733975330708,7.11099664639564,0.0123065488430239,0.498415245679493,1,"group_idcSLE-group_idcHD"
"PRELID1","T cell-CD4mem-Th22",0.229842680805699,11.9322413688329,0.13492058996107,0.713389493521119,0.881245844937852,1,"group_idcSLE-group_idcHD"
"SNX29P2","T cell-CD4mem-Th22",0.911290235802661,11.4531341957153,4.0609618064982,0.180885980960916,0.607835896329442,1,"group_idcSLE-group_idcHD"
"CLIC1","T cell-CD4mem-Th22",0.177239761921481,12.4483521404188,0.111780781593429,0.738130931166807,0.902793616335496,1,"group_idcSLE-group_idcHD"
"PAK1","T cell-CD4mem-Th22",0.562886269045571,11.4356517489557,2.45649556627878,0.344081848034642,0.630493077424658,1,"group_idcSLE-group_idcHD"
"PTGER4","T cell-CD4mem-Th22",0.08053949835322,11.9922350140773,0.0169626060650557,0.896378022810192,0.98766682355221,1,"group_idcSLE-group_idcHD"
"RABGAP1L","T cell-CD4mem-Th22",-0.343625062368783,11.4770206167386,0.329938664745129,0.687980610901631,0.863020069167718,1,"group_idcSLE-group_idcHD"
"PTGER2","T cell-CD4mem-Th22",1.78463528497036,11.7211704560717,4.7566913288086,0.0292016603075302,0.524300061567555,1,"group_idcSLE-group_idcHD"
"ERLEC1","T cell-CD4mem-Th22",0.686414369437526,11.5411673869281,0.841144887781433,0.432782934429771,0.713337017610284,1,"group_idcSLE-group_idcHD"
"FHIT","T cell-CD4mem-Th22",0.686132643301791,11.5498305091258,0.821050155585573,0.432782928336231,0.713337017610284,1,"group_idcSLE-group_idcHD"
"TCOF1","T cell-CD4mem-Th22",-0.29679851634015,11.6299925549943,0.178029539980439,0.673078785339289,0.863020069167718,1,"group_idcSLE-group_idcHD"
